map_10dl_1min_no_rs, map_10dl_1min_yes_rs, map_10dl_2min_no_rs, map_15dl_1min_no_rs, map_15dl_2min_no_rs, map_15dl_2min_yes_rs, map_20dl_1min_no_rs, map_20dl_2min_no_rs, map_20dl_2min_yes_rs, map_20dl_3min_no_rs, map_20dl_3min_yes_rs
1.046265986570613933e+02,1.046260273535377934e+02,1.046233714784334978e+02,1.046252270638590005e+02,1.046257958492155495e+02,1.046258374948712486e+02,1.046254789560850043e+02,1.046239309917596501e+02,1.046245343850418692e+02,1.046258129034196571e+02,1.046247178585706195e+02
1.039189994951900502e+02,1.039190352335802743e+02,1.039177615921753528e+02,1.039184355194572902e+02,1.039192679711437961e+02,1.039186070836171893e+02,1.039187381837316053e+02,1.039162139518857373e+02,1.039177253602709499e+02,1.039186588278202237e+02,1.039179534567785765e+02
1.034257549746730689e+02,1.034271042843564175e+02,1.034275418136805484e+02,1.034273579480165068e+02,1.034278135071410816e+02,1.034264106151326246e+02,1.034268020308185640e+02,1.034241837438546980e+02,1.034266501792897941e+02,1.034264986636649439e+02,1.034261976332542332e+02
1.031930036746535393e+02,1.031958650925081002e+02,1.031967726434926220e+02,1.031968800870403697e+02,1.031968943416596005e+02,1.031947361493742221e+02,1.031955282313425926e+02,1.031930712685989562e+02,1.031964212048339533e+02,1.031953163929103710e+02,1.031945606225610561e+02
1.030411229794124637e+02,1.030440158609332855e+02,1.030444816239203618e+02,1.030458642556084214e+02,1.030458725162205411e+02,1.030432417723878729e+02,1.030440702079467457e+02,1.030417303713572892e+02,1.030455102576374884e+02,1.030439820888947224e+02,1.030427678949260297e+02
1.028570142583053837e+02,1.028578727599009852e+02,1.028579355207481001e+02,1.028603908389896446e+02,1.028607900350440190e+02,1.028581838669303039e+02,1.028585152270753298e+02,1.028564496399797292e+02,1.028600899942079110e+02,1.028585752141463843e+02,1.028577622697130494e+02
1.027595187987853933e+02,1.027581139827993866e+02,1.027578423615673273e+02,1.027606795534083091e+02,1.027615854985650969e+02,1.027592689364952747e+02,1.027590295767646040e+02,1.027581495230818689e+02,1.027604094683906055e+02,1.027592993643482373e+02,1.027593130781169606e+02
1.029308522529068171e+02,1.029283547258257556e+02,1.029278613877891928e+02,1.029303544737210103e+02,1.029313210749648420e+02,1.029297137472772619e+02,1.029290941897035907e+02,1.029299474528498166e+02,1.029298584969642860e+02,1.029296757780709157e+02,1.029303747848869648e+02
1.033542626480557516e+02,1.033512193903542311e+02,1.033511436072701883e+02,1.033525879162484955e+02,1.033533355001096510e+02,1.033527562355106255e+02,1.033521521388478135e+02,1.033532833891553224e+02,1.033520017768856718e+02,1.033527720019638707e+02,1.033541799168295796e+02
1.038199051669168682e+02,1.038168730951760494e+02,1.038173504622601229e+02,1.038176959781673361e+02,1.038186205672672457e+02,1.038179711920095087e+02,1.038180083188763376e+02,1.038182310811571654e+02,1.038172797545892792e+02,1.038184866336571588e+02,1.038200088496651006e+02
